motif	factor
GM.5.0.Sox.0001	SRY
GM.5.0.Sox.0001	SOX9
GM.5.0.Sox.0001	SOX13
GM.5.0.Sox.0001	SOX15
GM.5.0.Homeodomain.0001	TGIF1
GM.5.0.Nuclear_receptor.0001	RORA
GM.5.0.Mixed.0002	VSX2
GM.5.0.Mixed.0002	PAX4
GM.5.0.Nuclear_receptor.0002	NR2C2
GM.5.0.bHLH.0001	AHR
GM.5.0.bHLH.0001	ARNT
GM.5.0.bHLH.0001	HIF1A
GM.5.0.bHLH.0001	EPAS1
GM.5.0.bHLH.0001	HIF2A
GM.5.0.bHLH.0001	HIF1B
GM.5.0.Myb_SANT.0001	MYBL1
GM.5.0.Myb_SANT.0001	MYBL2
GM.5.0.C2H2_ZF.0001	EGR1
GM.5.0.C2H2_ZF.0001	EGR
GM.5.0.C2H2_ZF.0001	EGR2
GM.5.0.GATA.0001	GATA1
GM.5.0.GATA.0001	GATA2
GM.5.0.GATA.0001	GATA
GM.5.0.GATA.0001	TAL1
GM.5.0.C2H2_ZF.0002	ZEB1
GM.5.0.C2H2_ZF.0002	SNAI1
GM.5.0.C2H2_ZF.0002	SNAI2
GM.5.0.bZIP.0001	NFY
GM.5.0.Homeodomain.0002	DLX5
GM.5.0.Homeodomain.0002	ISX
GM.5.0.Homeodomain.0002	DLX2
GM.5.0.Homeodomain.0002	PRRX2
GM.5.0.Ets.0001	FEV
GM.5.0.Ets.0001	ETS2
GM.5.0.Ets.0001	SPI1
GM.5.0.bZIP.0002	FOSL1
GM.5.0.bZIP.0002	JDP2
GM.5.0.bZIP.0002	JUNB
GM.5.0.bZIP.0002	JUND
GM.5.0.IRF.0001	IRF2
GM.5.0.IRF.0001	IRF1
GM.5.0.IRF.0001	IRF3
GM.5.0.bHLH.0002	TCFAP4
GM.5.0.bHLH.0002	TCF3
GM.5.0.Nuclear_receptor.0003	RARG
GM.5.0.Nuclear_receptor.0003	RARA
GM.5.0.Nuclear_receptor.0003	RXRA
GM.5.0.Nuclear_receptor.0003	RXRG
GM.5.0.bZIP.0003	BACH1
GM.5.0.bZIP.0003	MAFK
GM.5.0.bZIP.0003	BACH2
GM.5.0.bHLH.0003	SREBF1
GM.5.0.bHLH.0003	SREBF
GM.5.0.HSF.0001	HSF1
GM.5.0.Homeodomain.0003	HOXB7
GM.5.0.Homeodomain.0003	HOXB8
GM.5.0.Homeodomain.0003	HOXA5
GM.5.0.Homeodomain.0003	HOXB6
GM.5.0.C2H2_ZF.0003	ZBTB6
GM.5.0.ARID_BRIGHT.0001	ARID3A
GM.5.0.Homeodomain_POU.0001	POU3F2
GM.5.0.C2H2_ZF.0004	ZIC1
GM.5.0.Nuclear_receptor.0004	HNF4
GM.5.0.Nuclear_receptor.0004	NR2C1
GM.5.0.Sox.0002	SOX9
GM.5.0.Sox.0002	SRY
GM.5.0.DM.0001	DMRT1
GM.5.0.DM.0001	DMRT6
GM.5.0.bHLH.0004	USF1
GM.5.0.bHLH.0004	SREBF1
GM.5.0.bHLH.0004	MITF
GM.5.0.bHLH.0004	TFE3
GM.5.0.bHLH.0004	USF2
GM.5.0.bHLH.0004	EBOX
GM.5.0.bHLH.0004	TFE
GM.5.0.bZIP.0004	ATF4
GM.5.0.bZIP.0004	CHOP
GM.5.0.bZIP.0004	CEBPG
GM.5.0.bZIP.0004	DDIT3
GM.5.0.T-box.0001	TBET
GM.5.0.T-box.0001	TBX1
GM.5.0.T-box.0001	EOMES
GM.5.0.T-box.0001	TBR1
GM.5.0.T-box.0001	TBX20
GM.5.0.T-box.0001	TBX21
GM.5.0.bHLH.0005	TCF3
GM.5.0.bHLH.0005	FIGLA
GM.5.0.bHLH.0005	ID4
GM.5.0.bHLH.0005	MYF6
GM.5.0.Homeodomain.0005	CRX
GM.5.0.Homeodomain.0005	OTX1
GM.5.0.Homeodomain.0005	GSC
GM.5.0.Homeodomain.0005	PITX1
GM.5.0.Homeodomain.0005	OTX2
GM.5.0.Homeodomain.0005	PITX3
GM.5.0.Homeodomain.0005	PITX2
GM.5.0.Homeodomain.0005	DMBX1
GM.5.0.Homeodomain.0005	OBOX6
GM.5.0.Homeodomain.0005	GM4830
GM.5.0.Homeodomain.0005	OBOX1
GM.5.0.Homeodomain.0005	DPRX
GM.5.0.Homeodomain.0005	GSC2
GM.5.0.GATA.0002	GATA2
GM.5.0.GATA.0002	GATA3
GM.5.0.RFX.0001	RFX5
GM.5.0.bHLH.0006	ATOH1
GM.5.0.bHLH.0006	BHLHA15
GM.5.0.bHLH.0006	NEUROD1
GM.5.0.bHLH.0006	TCF21
GM.5.0.bHLH.0006	NEUROD2
GM.5.0.bHLH.0006	NEUROG2
GM.5.0.bHLH.0006	OLIG2
GM.5.0.bHLH.0006	PTF1A
GM.5.0.DM.0002	DMRT2
GM.5.0.bHLH.0007	TCF21
GM.5.0.bHLH.0007	BHLHA15
GM.5.0.bHLH.0007	ATOH1
GM.5.0.bHLH.0007	NEUROG2
GM.5.0.bHLH.0007	TAL1
GM.5.0.bHLH.0007	TCF3
GM.5.0.Rel.0001	NFKB1
GM.5.0.Rel.0001	NFKB
GM.5.0.Ets.0002	ELF5
GM.5.0.Ets.0002	EHF
GM.5.0.Ets.0002	ELF3
GM.5.0.Paired_box.0001	PAX5
GM.5.0.Paired_box.0001	PAX8
GM.5.0.Sox.0003	SOX3
GM.5.0.Sox.0003	SOX6
GM.5.0.Sox.0003	SOX17
GM.5.0.Sox.0003	SOX15
